,name,price_in_NGN,country,mileage_in_km
308,Lexus RX 2007 350 Black,"5,200,000",Nigerian Used,156579
309,Lexus ES 2011 350 Gray,"4,732,000",Nigerian Used,138991
310,Lexus RX 2006 Blue,"4,160,000",Nigerian Used,157518
311,Lexus IS 2016 white,"13,450,000",41774 km,n/a
312,Lexus RX 2004 Green,"6,032,000",Foreign Used,250650
313,Lexus GX 2006,"4,725,000",Nigerian Used,154378
314,Lexus RX 2012 350 AWD White,"10,192,000",Foreign Used,134949
315,Lexus ES 2008 350 Black,"4,410,000",Foreign Used,169463
316,Lexus GX 470 2008 Black,"9,360,000",Foreign Used,264214
317,Lexus RX 2010 Black,"9,672,000",Foreign Used,115026
318,Lexus IS 2011 250 AWD Automatic White,"4,992,000",Foreign Used,137902
319,Lexus ES 2009 350 Black,"4,784,000",Foreign Used,150890
320,Lexus ES 2007 Gold,"4,888,000",Foreign Used,49407
321,Lexus IS 2006 Blue,"4,680,000",Nigerian Used,325269
322,Lexus Is 2010 black,"4,378,000",98226 km,n/a
323,Lexus IS 2007 Silver,"3,224,000",Nigerian Used,179811
324,Lexus GX 470 Sport Utility 2005 Silver,"7,280,000",Nigerian Used,191327
325,Lexus RX 2012 Gray,"10,400,000",Foreign Used,88804
326,Lexus RX 2012 350 AWD White,"10,192,000",Foreign Used,134949
327,Lexus GS 2006 black,"3,594,000",173985 km,n/a
328,Lexus IS 250 2007 Black,"3,328,000",Nigerian Used,96844
329,Lexus IS 2008 gray,"3,818,000",72429 km,n/a
330,Lexus ES 350 2007 Gray,"3,640,000",Nigerian Used,191742
331,Lexus ES 350 2010 Blue,"4,888,000",Nigerian Used,289309
332,Lexus ES 2007 350 Gold,"3,744,000",Nigerian Used,207704
333,Lexus IS 2007 blue,"3,610,000",211824 km,n/a
334,Lexus ES 2007 350 Black,"3,328,000",Nigerian Used,313140
335,Lexus RX 2004 330 Gray,"5,200,000",Foreign Used,367310
336,Lexus ES 350 FWD 2013 Silver,"10,400,000",Nigerian Used,131925
337,Lexus IS 2014 250 Black,"9,240,000",Foreign Used,187603
338,Lexus ES 350 2009 Gray,"4,784,000",Foreign Used,286668
339,Lexus ES 2008 white,"3,706,000",60730 km,n/a
340,Lexus IS 2008 Black,"3,885,000",Foreign Used,210329
341,Lexus IS 2007 250 Silver,"4,095,000",Foreign Used,110621
342,Lexus RX 2004 330 Blue,"3,744,000",Nigerian Used,163903
343,Lexus ES 350 2007 Silver,"3,952,000",Nigerian Used,131551
344,Lexus ES 2007 Gold,"4,160,000",Nigerian Used,251263
345,Lexus GS 300 Automatic 2007 Black,"5,408,000",Foreign Used,150659
346,Lexus ES 2007 Gold,"4,200,000",Foreign Used,124511
347,Lexus IS 2009 Black,"4,500,000",Foreign Used,173307
348,Lexus RX 350 4x4 2009 Gold,"5,408,000",Nigerian Used,25416
349,Lexus RX 2004 Gray,"4,935,000",Foreign Used,168011
350,Lexus GX 2007 Gray,"7,488,000",Foreign Used,214028
351,Lexus RX 350 2008 Silver,"6,240,000",Foreign Used,198621
352,Lexus IS 2007 350 Silver,"4,368,000",Foreign Used,141782
353,Lexus RX 2005 330 Blue,"5,200,000",Foreign Used,95873
354,Lexus ES 2007 White,"5,200,000",Foreign Used,366744
355,Lexus LX 2002 Gold,"3,150,000",Nigerian Used,213165
356,Lexus LS 2008 Gray,"4,725,000",Nigerian Used,224605
357,Lexus GX 2007 Gray,"6,240,000",Nigerian Used,76775
358,Lexus ES 2010 black,"6,506,000",174545 km,n/a
359,Lexus RX 350 2009 Silver,"5,985,000",Foreign Used,278230
360,Lexus ES 350 FWD 2013 Silver,"10,400,000",Nigerian Used,131925
361,Lexus ES 2007 350 Black,"4,732,000",Foreign Used,259837
362,Lexus GX 2014 Black,"18,900,000",Nigerian Used,82573
363,Lexus IS 2009 250 Blue,"3,640,000",Nigerian Used,85662
364,Lexus ES 300 2002 Purple,"3,224,000",Foreign Used,211561
365,Lexus RX 2005 330 Blue,"5,200,000",Foreign Used,95873
366,Lexus ES 2009 350 Black,"5,200,000",Foreign Used,122653
367,Lexus ES 2007 350 Gold,"4,680,000",Foreign Used,175836
368,Lexus ES 2007 black,"5,050,000",149693 km,n/a
369,Lexus GS 300 Automatic 2007 Black,"5,408,000",Foreign Used,150659
370,Lexus GS 2006 black,"3,594,000",173985 km,n/a
371,Lexus ES 2008 Gold,"4,992,000",Foreign Used,184977
372,Lexus IS 2009 250 Gray,"4,200,000",Foreign Used,156800
373,Lexus RX 2007 400h AWD Silver,"4,680,000",Nigerian Used,170778
374,Lexus GS 2007 Gray,"3,328,000",Nigerian Used,266358
375,Lexus RX 400h 2006 Blue,"3,150,000",Nigerian Used,88003
376,Lexus ES 300 2002 Purple,"3,224,000",Foreign Used,211561
377,Lexus ES 2007 black,"5,050,000",149693 km,n/a
378,Lexus ES 2007 Blue,"3,150,000",Nigerian Used,135194
379,Lexus RX 2007 400h AWD Silver,"4,680,000",Nigerian Used,170778
380,Lexus ES 2009 350 Black,"5,200,000",Foreign Used,122653
381,Lexus ES 2007 350 Red,"4,680,000",Foreign Used,91808
382,Lexus ES 2007 350 Gray,"4,680,000",Foreign Used,148888
383,Lexus ES 350 2008 Gray,"4,200,000",Foreign Used,148332
384,Lexus ES 2010 Silver,"4,888,000",Nigerian Used,142751
385,Lexus ES 2002 Silver,"2,496,000",Nigerian Used,125060
